GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
seckill-seckill,com.seckill.seckill.support,SeckillRedisKeys,0,30,0,0,0,7,0,7,0,7
seckill-seckill,com.seckill.seckill.dto,SeckillPathResponse,98,17,22,0,0,3,15,5,4,5
seckill-seckill,com.seckill.seckill.dto,SeckillExecuteRequest,197,42,46,0,0,7,27,11,4,11
seckill-seckill,com.seckill.seckill.dto,SeckillExecuteResponse,170,25,38,0,2,3,25,7,6,7
seckill-seckill,com.seckill.seckill.dto,SeckillResultResponse,422,56,94,0,8,4,59,15,12,15
seckill-seckill,com.seckill.seckill.service,SeckillRecordService,22,253,7,13,6,60,8,10,1,7
seckill-seckill,com.seckill.seckill.service,RateLimitService,5,128,3,10,1,27,3,11,0,7
seckill-seckill,com.seckill.seckill.service,SeckillService,0,290,1,17,0,59,1,12,0,4
seckill-seckill,com.seckill.seckill.service,SeckillPathService,2,255,7,27,0,54,7,19,0,9
seckill-seckill,com.seckill.seckill.service,StockService,0,140,0,8,0,32,0,10,0,6
seckill-seckill,com.seckill.seckill.annotation,RateLimitScene,0,15,0,0,0,3,0,1,0,1
seckill-seckill,com.seckill.seckill.entity,SeckillRecord,335,62,78,0,0,10,44,18,5,18
seckill-seckill,com.seckill.seckill.config,SeckillProperties,128,63,18,0,0,7,13,13,4,13
seckill-seckill,com.seckill.seckill.controller,SeckillController,29,0,0,0,4,0,4,0,4,0
seckill-seckill,com.seckill.seckill.mq,SeckillOrderConsumer,3,367,4,32,2,66,4,22,0,8
seckill-seckill,com.seckill.seckill.mq,SeckillOrderProducer,34,0,0,0,8,0,5,0,5,0
seckill-seckill,com.seckill.seckill.mq,SeckillOrderMessage,362,73,86,0,0,11,47,21,4,21
seckill-seckill,com.seckill.seckill.aspect,RateLimitAspect,33,0,4,0,6,0,4,0,2,0
